ILMNGene_ProbeId,MBC_vs_CP_Up,MBC_vs_CP_Down,LBC_vs_CP_Up,LBC_vs_CP_Down,PTC209_Up,PTC_209_Down
CTTN_ILMN1744912,0,1,0,1,0,1
CTXN1_ILMN1759766,0,0,0,1,0,1
CUGBP2_ILMN2400947,1,0,1,0,1,0
CXCR4_ILMN1801584,0,0,0,0,1,0
CXCR4_ILMN2320888,0,0,0,0,1,0
CYBRD1_ILMN2087692,1,0,0,0,0,1
CYP1B1_ILMN1693338,0,0,0,1,1,0
CYP2J2_ILMN1758731,0,0,0,1,0,1
CYP4V2_ILMN2054607,0,0,0,1,1,0
CYTH4_ILMN3238196,1,0,1,0,1,0
CYTL1_ILMN2201596,0,1,0,1,1,0
DCUN1D3_ILMN1665455,1,0,0,0,1,0
DDAH1_ILMN1668507,0,1,0,1,0,1
DDAH2_ILMN1770787,1,0,1,0,1,0
DENND5A_ILMN3245413,1,0,1,0,1,0
DEPDC1B_ILMN1814600,0,0,0,1,0,1
DGKQ_ILMN1793017,0,0,1,0,1,0
DHCR24_ILMN1725510,0,0,0,1,0,1
DHCR7_ILMN1815626,0,0,0,1,0,1
DHCR7_ILMN2165867,0,0,0,1,0,1
DHRS9_ILMN1733998,0,1,0,0,0,1
DIAPH3_ILMN2373689,0,1,0,1,0,1
DKFZP434K191_ILMN1652533,0,0,0,0,1,0
DLEU1_ILMN1681641,0,0,0,1,0,1
DLEU1_ILMN2043918,0,1,0,1,0,1
DLGAP5_ILMN3239771,0,1,0,0,0,1
DLK1_ILMN1797519,0,0,0,0,0,1
DNASE2_ILMN1796245,1,0,0,0,1,0
DNM3_ILMN1680928,0,0,0,1,0,1
DNMT3B_ILMN1794692,0,0,0,1,0,1
DNMT3B_ILMN2328972,0,0,0,1,0,1
DNMT3B_ILMN2328977,0,0,0,1,0,1
DSCC1_ILMN1776577,0,1,0,1,0,1
DSG2_ILMN3251672,0,1,0,1,0,1
DSTN_ILMN2380698,0,0,0,1,0,1
DTL_ILMN1779711,0,1,0,0,0,1
DUSP18_ILMN1734288,1,0,1,0,1,0
DUSP6_ILMN2396020,1,0,1,0,1,0
DUT_ILMN1732688,0,1,0,1,0,1
DUT_ILMN2374778,0,1,0,1,0,1
E2F2_ILMN1777233,0,1,0,0,0,1
ECGF1_ILMN2109708,0,0,0,1,1,0
ECM1_ILMN2329735,1,0,1,0,0,1
EDG4_ILMN1662741,1,0,1,0,1,0
EFEMP2_ILMN1653203,0,1,0,0,0,1
EFHC2_ILMN1791302,1,0,0,1,0,1
EFNA1_ILMN2371055,1,0,0,0,0,1
EFNB2_ILMN1703852,0,1,0,1,0,1
EGFL7_ILMN1669898,1,0,0,0,0,1
EGLN1_ILMN1749892,0,0,1,0,0,1
EGR1_ILMN1762899,0,0,0,1,1,0
ELANE_ILMN1706635,0,1,0,1,0,1
ELOVL6_ILMN1700546,0,1,0,1,0,1
ELOVL6_ILMN2111187,0,1,0,1,0,1
EMP1_ILMN1801616,1,0,1,0,1,0
EMR2_ILMN2353633,0,0,1,0,1,0
ENPP4_ILMN1781761,0,0,0,1,1,0
EPCAM_ILMN3249032,0,1,0,1,0,1
EPOR_ILMN2168347,0,1,0,1,0,1
EPSTI1_ILMN2388547,0,1,0,1,0,1
EREG_ILMN1657248,0,1,0,1,1,0
ESAM_ILMN1668092,1,0,0,0,0,1
ESPL1_ILMN1742145,0,1,0,0,0,1
EVI2A_ILMN1733579,1,0,1,0,1,0
EVI2B_ILMN1763452,1,0,1,0,1,0
EXO1_ILMN1673721,0,1,0,1,0,1
EXO1_ILMN2351916,0,1,0,1,0,1
EXOSC7_ILMN2055477,0,0,0,1,0,1
EXTL2_ILMN1797950,0,0,0,1,0,1
F13A1_ILMN1717163,1,0,0,0,0,1
F2R_ILMN1742866,0,0,0,1,0,1
FABP5_ILMN2146761,0,1,0,0,0,1
FABP5L2_ILMN3178258,0,1,0,0,0,1
FABP5L2_ILMN3266606,0,1,0,0,0,1
FADS1_ILMN1670134,0,0,0,1,0,1
FAIM3_ILMN1775542,1,0,1,0,1,0
FAM107B_ILMN1758672,0,0,1,0,1,0
FAM117A_ILMN1745533,0,1,0,1,1,0
FAM127A_ILMN1708143,0,1,0,1,0,1
FAM129B_ILMN1661755,0,1,0,1,0,1
FAM171A1_ILMN1749868,0,0,0,1,0,1
FAM176B_ILMN1769092,0,0,0,0,1,0
FAM178B_ILMN1804993,0,1,0,1,0,1
FAM46A_ILMN1740466,0,0,0,1,0,1
FAM46C_ILMN1713266,0,1,0,1,0,1
FAM50A_ILMN1725130,0,0,1,0,1,0
FAM54A_ILMN1697998,0,1,0,1,0,1
FAM65C_ILMN3242330,0,1,0,1,0,1
FAM83A_ILMN1670158,0,0,0,0,1,0
FAM83A_ILMN2239774,0,0,0,0,1,0
FAM83D_ILMN1781943,0,1,0,1,0,1
FAM84B_ILMN1670807,0,0,0,0,1,0
FANCD2_ILMN2235137,0,1,0,1,0,1
FANCI_ILMN1655642,0,1,0,0,0,1
FAR2_ILMN1694596,1,0,0,0,0,1
FAR2_ILMN2202915,1,0,0,0,0,1
FBLN1_ILMN1700541,0,0,0,1,0,1
FBLN2_ILMN1774602,0,1,0,1,0,1
FBLN2_ILMN2390919,0,1,0,1,0,1
FCER1A_ILMN1688423,0,1,0,1,1,0
FCER1G_ILMN2123743,1,0,0,0,1,0
FCGR2B_ILMN2382403,0,0,0,0,0,1
FCGRT_ILMN1705302,0,1,0,1,1,0
FEN1_ILMN1755834,0,1,0,1,0,1
FEN1_ILMN2160929,0,1,0,1,0,1
FER1L3_ILMN1810289,1,0,0,0,0,1
FGD3_ILMN1772686,1,0,1,0,1,0
FGFR3_ILMN1723123,0,0,0,1,0,1
FGR_ILMN1795158,1,0,0,0,1,0
FGR_ILMN2368318,1,0,0,0,1,0
FHL2_ILMN1668411,0,1,0,1,0,1
FHL2_ILMN2355831,0,1,0,1,0,1
FKBP11_ILMN1787345,0,1,0,1,0,1
FKBP9L_ILMN2089977,0,0,0,1,0,1
FLI1_ILMN1665738,1,0,0,0,0,1
FLJ10916_ILMN2173294,0,0,0,1,1,0
FLJ20273_ILMN1689046,0,0,1,0,1,0
FLJ21986_ILMN1677038,0,0,0,1,1,0
FLJ22184_ILMN2387471,0,0,0,1,0,1
FLJ31306_ILMN3189585,1,0,0,0,1,0
FLJ39639_ILMN1790412,1,0,0,0,1,0
FLT3_ILMN1766363,1,0,1,0,1,0
FNDC3B_ILMN3178302,0,0,0,1,1,0
FNDC3B_ILMN3253456,0,0,0,1,1,0
FOXM1_ILMN1716400,0,1,0,1,0,1
FOXM1_ILMN2344971,0,1,0,1,0,1
FST_ILMN1700081,0,1,0,1,0,1
FTHL11_ILMN1706013,0,1,0,0,1,0
FTHL12_ILMN1750278,0,1,0,0,1,0
FTHL3_ILMN2173835,0,1,0,1,1,0
FTHL7_ILMN2234016,0,0,0,1,1,0
FYN_ILMN2249920,0,0,1,0,1,0
G6PD_ILMN2347949,1,0,0,0,1,0
GAB2_ILMN1665964,0,0,1,0,1,0
GABARAPL1_ILMN2151281,1,0,0,0,1,0
GALC_ILMN1799744,0,1,0,1,1,0
GALK1_ILMN1803194,0,0,1,0,0,1
GALNT14_ILMN1722524,0,0,1,0,0,1
GAS7_ILMN1745994,1,0,1,0,1,0
GATA1_ILMN1797251,0,1,0,1,0,1
GBP2_ILMN1774077,1,0,1,0,1,0
GBP4_ILMN1771385,1,0,1,0,1,0
GBP5_ILMN2114568,1,0,1,0,1,0
GCAT_ILMN1724437,0,1,0,1,0,1
GDPD3_ILMN1774901,1,0,1,0,1,0
GGH_ILMN1681754,0,0,0,1,0,1
GIMAP4_ILMN1748473,0,0,1,0,1,0
GIMAP7_ILMN1776678,1,0,1,0,1,0
GINS2_ILMN1809590,0,1,0,0,0,1
GINS3_ILMN1754272,0,1,0,1,0,1
GIPC1_ILMN1796177,1,0,1,0,1,0
GLA_ILMN1766637,0,0,0,1,0,1
GLIPR1_ILMN1769245,1,0,0,0,1,0
GLIPR2_ILMN1652631,1,0,1,0,1,0
GMNN_ILMN1720114,0,1,0,0,0,1
GMPR_ILMN1729487,0,1,0,1,0,1
GNA15_ILMN1773963,1,0,1,0,1,0
GNB5_ILMN2412294,1,0,1,0,0,1
GNG2_ILMN1807925,0,1,1,0,0,1
GNG7_ILMN1728107,0,0,1,0,1,0
GOLGA8B_ILMN2103547,0,0,0,0,1,0
GP1BA_ILMN1753575,0,0,0,1,0,1
GP6_ILMN1732269,0,0,0,1,0,1
GP9_ILMN1743290,0,0,0,1,0,1
GPI_ILMN2173451,0,0,0,1,0,1
GPR1_ILMN2107004,0,0,1,0,1,0
GPR132_ILMN1811171,0,0,1,0,1,0
GPT2_ILMN1684158,0,0,0,1,1,0
GRAP2_ILMN1778143,1,0,0,0,0,1
GSG2_ILMN1709085,0,0,0,1,0,1
GSN_ILMN1801043,1,0,0,0,0,1
GSTM1_ILMN2391861,0,0,0,1,0,1
GSTM2_ILMN2201580,0,0,0,1,0,1
GSTM3_ILMN1736184,0,0,0,1,0,1
GUCY1A3_ILMN1808590,1,0,0,0,1,0
GUCY1A3_ILMN2131177,1,0,0,0,1,0
GVIN1_ILMN1668526,1,0,1,0,1,0
GYPB_ILMN1683093,0,1,0,1,0,1
GYPE_ILMN1695187,0,1,0,1,0,1
GYPE_ILMN1815908,0,1,0,1,0,1
GYPE_ILMN2266962,0,1,0,1,0,1
H2AFY_ILMN1746171,0,0,1,0,0,1
HADH_ILMN1719906,0,1,0,1,0,1
HAVCR2_ILMN1693826,1,0,0,0,1,0
HBA1_ILMN3240144,0,0,0,1,0,1
HBA2_ILMN1667796,0,0,0,1,0,1
HBA2_ILMN2127842,0,0,0,1,0,1
HBB_ILMN2100437,0,1,0,1,0,1
HBBP1_ILMN1653814,0,0,0,1,0,1
HBD_ILMN1815527,0,1,0,1,0,1
HBE1_ILMN1651358,0,0,0,1,0,1
HBG1_ILMN1796678,0,0,0,1,0,1
HBG2_ILMN2084825,0,0,0,1,0,1
HBQ1_ILMN1696183,0,1,0,1,0,1
HCK_ILMN1791771,1,0,0,0,1,0
HCST_ILMN1699931,1,0,1,0,1,0
HCST_ILMN2396991,1,0,1,0,1,0
HELLS_ILMN2202423,0,1,0,0,0,1
HEMGN_ILMN2413537,0,0,0,1,0,1
HES6_ILMN1694268,0,1,0,1,0,1
HGD_ILMN2198239,0,0,0,0,0,1
HIF1A_ILMN1681283,0,0,1,0,1,0
HIF1A_ILMN1763260,1,0,1,0,1,0
HIF1A_ILMN2379788,0,0,1,0,1,0
HIRIP3_ILMN1678037,0,1,0,0,0,1
HIST1H2AC_ILMN1792689,1,0,1,0,1,0
HIST1H2BD_ILMN1651496,1,0,1,0,1,0
HIST1H2BK_ILMN1796179,0,0,1,0,1,0
HIST1H4H_ILMN1751120,0,0,1,0,1,0
HIST2H2BE_ILMN1732071,1,0,0,0,1,0
HJURP_ILMN1703906,0,1,0,1,0,1
HK1_ILMN2382990,0,0,0,1,0,1
HK2_ILMN1723486,0,0,0,0,0,1
HLA-DOA_ILMN1659075,1,0,1,0,1,0
HLA-DQA1_ILMN1808405,0,0,1,0,1,0
HLA-DRB3_ILMN1717261,1,0,1,0,1,0
HLA-DRB4_ILMN1752592,0,0,1,0,1,0
HLA-DRB6_ILMN2066060,0,0,1,0,0,1
HLA-DRB6_ILMN2066066,0,0,1,0,1,0
HLX_ILMN2087646,1,0,1,0,1,0
HMGB1L1_ILMN1809439,0,1,0,0,0,1
HMGB1L1_ILMN2211800,0,1,0,0,0,1
HMGB2_ILMN1654268,0,1,0,1,0,1
HMGB2_ILMN2219712,0,1,0,0,0,1
HMGCS1_ILMN1797728,0,0,0,1,0,1
HMMR_ILMN1781942,0,1,0,1,0,1
HNRNPA2B1_ILMN3273854,1,0,0,0,1,0
HNRNPL_ILMN2389582,0,1,0,0,0,1
HNRPA1L-2_ILMN2220283,0,1,0,1,0,1
HNRPLL_ILMN1791575,0,1,0,1,0,1
HOXA9_ILMN1739582,0,0,0,1,1,0
HPCAL1_ILMN1764850,1,0,1,0,0,1
HPSE_ILMN1779547,0,0,0,0,0,1
HPSE_ILMN2092850,0,0,0,0,0,1
HRASLS_ILMN1655867,0,1,0,1,0,1
