ILMNGene_ProbeId;MBC_vs_CP_Up;MBC_vs_CP_Down;LBC_vs_CP_Up;LBC_vs_CP_Down;PTC209_Up;PTC209_Down
LOC642956_ILMN3210741;0;1;0;1;0;1
LOC643332_ILMN3202002;0;0;0;1;0;1
LOC647000_ILMN1703692;0;0;0;1;0;1
LOC647000_ILMN1704750;0;0;0;1;0;1
LOC648921_ILMN3274790;0;0;1;0;1;0
LOC651309_ILMN1742431;1;0;1;0;1;0
LOC653506_ILMN1780861;0;0;1;0;1;0
LOC728037_ILMN1814589;0;0;0;1;0;1
LOC728554_ILMN1691949;0;1;0;0;0;1
LOC728643_ILMN2125675;0;0;0;1;0;1
LOC728715_ILMN1749875;0;1;0;0;0;1
LOC729423_ILMN3304887;0;1;0;1;0;1
LOC729816_ILMN3232696;0;0;0;1;0;1
LOC729964_ILMN3220769;0;0;0;1;0;1
LOC730415_ILMN3228688;0;0;1;0;1;0
LOC730994_ILMN1680774;1;0;1;0;1;0
LOC731314_ILMN1785756;0;0;0;1;0;1
LOC791120_ILMN3240226;0;0;1;0;1;0
LOC92755_ILMN3304898;0;0;0;1;0;1
LPP_ILMN1651254;1;0;1;0;1;0
LPXN_ILMN1742789;0;0;1;0;1;0
LRCH4_ILMN1654518;1;0;1;0;1;0
LRRC20_ILMN1690523;0;0;0;1;0;1
LRRFIP1_ILMN2214997;0;0;1;0;1;0
LTB_ILMN2376205;1;0;1;0;1;0
LXN_ILMN1723962;0;0;0;1;0;1
LY6G6D_ILMN1696295;0;0;0;1;0;1
LY86_ILMN1807825;1;0;1;0;1;0
LY96_ILMN1724533;1;0;1;0;1;0
MAD2L1_ILMN1777564;0;0;0;1;0;1
MAFF_ILMN1680139;0;0;0;1;1;0
MAGED1_ILMN1775522;0;0;0;1;0;1
MAGED1_ILMN2306189;0;0;0;1;0;1
MAL_ILMN2327860;0;0;1;0;1;0
MARCKS_ILMN1807042;1;0;0;0;0;1
MASTL_ILMN1682336;0;1;0;1;0;1
MATN2_ILMN1694840;0;0;0;1;0;1
MAX_ILMN1706546;0;0;1;0;1;0
MBOAT7_ILMN1722218;1;0;1;0;1;0
MCM10_ILMN2413898;0;0;0;1;0;1
MCM10_ILMN2413899;0;0;0;1;0;1
MCM2_ILMN1681503;0;1;0;1;0;1
MCM4_ILMN1737205;0;1;0;1;0;1
MEIS3P1_ILMN2205896;0;0;0;1;0;1
MELK_ILMN1731184;0;0;0;1;0;1
METRNL_ILMN1688775;0;0;1;0;1;0
MFGE8_ILMN1756071;0;0;0;1;0;1
MGC13057_ILMN1787526;0;1;0;1;0;1
MGC29506_ILMN2193233;0;0;1;0;0;1
MGC39900_ILMN1731640;0;1;0;1;0;1
MGC39900_ILMN1737283;0;0;0;1;0;1
MGC39900_ILMN1740512;0;0;0;1;0;1
MGC40489_ILMN1678300;0;0;0;1;0;1
MIPEP_ILMN1669070;0;1;0;1;0;1
MIR155HG_ILMN3248910;1;0;1;0;1;0
MMP28_ILMN2399016;1;0;1;0;1;0
MMRN1_ILMN1660114;1;0;0;0;0;1
MN1_ILMN1732197;1;0;1;0;1;0
MN1_ILMN2111237;1;0;1;0;1;0
